Reduce Only
Trigger Conditions
TP/SL
1/5/2026 - 16:45:28	Limit	HYPE 
hyna
Long	0.72	--	19.22 USDE	26.699	No	N/A	--	Canceled	287341078768
1/5/2026 - 16:45:28	Limit	HYPE 
hyna
Long	0.84	--	22.43 USDE	26.700	No	N/A	--	Open	287341084471
1/5/2026 - 16:45:27	Limit	HYPE 
hyna
Long	0.72	--	19.22 USDE	26.699	No	N/A	--	Open	287341078768
1/5/2026 - 16:45:27	Limit	HYPE 
hyna
Long	1.88	--	50.10 USDE	26.651	No	N/A	--	Canceled	287334440750
1/5/2026 - 16:43:52	Limit	HYPE 
hyna
Long	3.50	--	93.00 USDE	26.572	No	N/A	--	Open	287340195373
1/5/2026 - 16:43:51	Limit	HYPE 
hyna
Long	5.38	--	143.15 USDE	26.607	No	N/A	--	Canceled	287334440751
1/5/2026 - 16:43:28	Limit	HYPE 
hyna
Long	3.84	--	102.05 USDE	26.575	No	N/A	--	Open	287339956421
1/5/2026 - 16:43:27	Limit	HYPE 
hyna
Long	--	6.39	--	26.680	No	N/A	--	Filled	287334361137
1/5/2026 - 16:43:01	Limit	HYPE 
hyna
Long	4.99	--	132.78 USDE	26.609	No	N/A	--	Open	287339737430
1/5/2026 - 16:43:00	Limit	HYPE 
hyna
Long	--	2.77	--	26.735	No	N/A	--	Filled	287338733669
1/5/2026 - 16:41:21	Limit	HYPE 
hyna
Long	2.77	--	74.06 USDE	26.735	No	N/A	--	Open	287338733669
1/5/2026 - 16:41:20	Limit	HYPE 
hyna
Long	0.75	--	20.05 USDE	26.735	No	N/A	--	Canceled	287338710803
1/5/2026 - 16:41:19	Limit	HYPE 
hyna
Long	1.31	--	35.03 USDE	26.738	No	N/A	--	Canceled	287338670086
1/5/2026 - 16:41:19	Limit	HYPE 
hyna
Long	0.75	--	20.05 USDE	26.735	No	N/A	--	Open	287338710803
1/5/2026 - 16:41:16	Limit	HYPE 
hyna
