time,coin,dir,px,sz,ntl,fee,closedPnl
22/12/2025 - 15:27:56,BTC,Open Long,88615,0.001,88.615,0.039876,-0.039876
22/12/2025 - 15:28:37,BTC,Open Long,88600,0.00029,25.694,0.003854,-0.003854
22/12/2025 - 15:29:37,BTC,Open Long,88604,0.00001,0.88604,0.000132,-0.000132
22/12/2025 - 16:34:41,BTC,Close Long,88820,0.00161,143.0002,0.06435,0.28019
23/12/2025 - 10:51:31,BTC,Open Long,87764,0.00435,381.7734,0.057266,-0.057266
23/12/2025 - 10:51:57,BTC,Open Long,87688,0.00435,381.4428,0.057216,-0.057216
23/12/2025 - 10:52:33,BTC,Close Long,87785,0.00131,114.99835,0.017249,0.060041
23/12/2025 - 11:00:07,BTC,Close Long,87404,0.00435,380.20739999999995,0.057031,-1.457731
23/12/2025 - 11:06:53,BTC,Long > Short,87572,0.00358,313.50775999999996,0.047026,-0.515186
23/12/2025 - 11:07:01,BTC,Open Short,87572,0.00077,67.43043999999999,0.010114,-0.010114
23/12/2025 - 12:09:40,BTC,Short > Long,88079,0.00434,382.26286,0.057339,-0.7215090000000001
23/12/2025 - 12:09:48,BTC,Open Long,87997,0.00434,381.90698000000003,0.057286,-0.057286
23/12/2025 - 12:11:34,BTC,Close Long,88056,0.00434,382.16304,0.057324,0.052478
23/12/2025 - 12:12:26,BTC,Long > Short,88097,0.00434,382.34098,0.057351,0.143538
23/12/2025 - 12:13:56,BTC,Open Short,88072,0.00434,382.23248,0.057334,-0.057334
23/12/2025 - 12:19:40,BTC,Open Short,88112,0.0002,17.622400000000003,0.002643,-0.002643
23/12/2025 - 12:19:51,BTC,Open Short,88112,0.00414,364.78367999999995,0.054717,-0.054717
23/12/2025 - 12:20:04,BTC,Open Short,88134,0.00434,382.50156,0.057375,-0.057375
23/12/2025 - 12:20:05,BTC,Open Short,88144,0.00125,110.18,0.016527,-0.016527
23/12/2025 - 12:20:08,BTC,Open Short,88144,0.00047,41.42768,0.006214,-0.006214
23/12/2025 - 12:24:11,BTC,Close Short,88091,0.00434,382.31494000000004,0.057347,0.022075000000000004
23/12/2025 - 12:26:07,BTC,Close Short,87973,0.00132,116.12436,0.017418,0.162498
23/12/2025 - 12:41:09,BTC,Close Short,88075,0.01039,915.09925,0.411794,-0.055416999999999994
23/12/2025 - 12:44:21,BTC,Open Long,88029,0.00455,400.53195,0.060079,-0.060079
23/12/2025 - 12:44:21,BTC,Open Long,88018,0.00455,400.4819,0.060072,-0.060072
23/12/2025 - 12:51:41,BTC,Close Long,88083,0.00066,58.13478,0.00872,0.03055
23/12/2025 - 12:51:46,BTC,Close Long,88083,0.00023,20.25909,0.003038,0.010647
23/12/2025 - 12:57:02,BTC,Open Long,87937,0.00455,400.11335,0.060017,-0.060017
23/12/2025 - 13:01:13,BTC,Close Long,87891.1528213166,0.01276,1121.49111,0.50467,-1.7991359999999998
23/12/2025 - 15:13:26,BTC,Open Short,87661,0.00433,379.57212999999996,0.170807,-0.170807
23/12/2025 - 15:13:44,BTC,Close Short,87656,0.00433,379.55048,0.056932,-0.03528200000000001
23/12/2025 - 15:14:19,BTC,Open Short,87674,0.00433,379.62841999999995,0.056944,-0.056944
23/12/2025 - 15:14:19,BTC,Open Short,87675,0.00433,379.63275,0.056944,-0.056944
23/12/2025 - 15:14:26,BTC,Close Short,87685,0.00433,379.67605,0.056951,-0.10241600000000001
23/12/2025 - 15:14:48,BTC,Close Short,87686,0.00433,379.68037999999996,0.056952,-0.10674700000000001
23/12/2025 - 15:14:49,BTC,Open Long,87668,0.00433,379.60243999999994,0.170821,-0.170821
23/12/2025 - 15:15:00,BTC,Close Long,87677,0.00433,379.64140999999995,0.056946,-0.017976
23/12/2025 - 15:15:02,BTC,Open Short,87688,0.00433,379.68904,0.17086,-0.17086
23/12/2025 - 15:15:04,BTC,Open Short,87696,0.00433,379.72367999999994,0.056958,-0.056958
23/12/2025 - 15:16:36,BTC,Close Short,87715,0.00051,44.73465,0.00671,-0.01844
23/12/2025 - 15:16:49,BTC,Close Short,87712,0.00093,81.57216000000001,0.012235,-0.030834999999999998
23/12/2025 - 15:17:10,BTC,Open Short,87721,0.00145,127.19545,0.019079,-0.019079
24/12/2025 - 08:33:31,BTC,Close Short,87193,0.00019,16.566670000000002,0.002485,0.093237
24/12/2025 - 08:33:37,BTC,Open Short,87223,0.00046,40.12258,0.006018,-0.006018
24/12/2025 - 08:33:40,BTC,Close Short,87197,0.00457,398.49029,0.17932,1.9932580000000002
24/12/2025 - 08:33:44,BTC,Short > Long,87197,0.00457,398.49029,0.17932,1.898178
24/12/2025 - 08:33:50,BTC,Open Long,87197,0.00186,162.18642,0.072983,-0.072983
24/12/2025 - 08:33:56,BTC,Close Long,87182,0.00019,16.56458,0.002484,-0.005334
24/12/2025 - 08:33:57,BTC,Long > Short,87191,0.00457,398.46287,0.179308,-0.190528
24/12/2025 - 08:34:06,BTC,Open Short,87227,0.00457,398.62739000000005,0.179382,-0.179382
24/12/2025 - 08:34:11,BTC,Open Short,87212,0.00457,398.55884000000003,0.179351,-0.179351
24/12/2025 - 08:34:39,BTC,Close Short,87295,0.00457,398.93815,0.179522,-0.554262
24/12/2025 - 08:34:43,BTC,Close Short,87299,0.00457,398.95643,0.17953,-0.57255
24/12/2025 - 08:41:39,BTC,Close Short,87148,0.0027,235.29960000000003,0.105884,0.06961599999999998
24/12/2025 - 11:34:15,BTC,Open Short,87543.7793103448,0.00435,380.81543999999985,0.171365,-0.171365
24/12/2025 - 11:34:18,BTC,Open Short,87540,0.00435,380.799,0.171359,-0.171359
24/12/2025 - 11:34:21,BTC,Open Short,87541.6298850575,0.00435,380.8060900000001,0.171362,-0.171362
24/12/2025 - 11:34:24,BTC,Open Short,87539,0.00435,380.79465,0.171357,-0.171357
24/12/2025 - 11:34:26,BTC,Open Short,87534.8413793104,0.00435,380.7765600000002,0.171348,-0.171348
24/12/2025 - 11:34:28,BTC,Close Short,87551,0.00435,380.84684999999996,0.171381,-0.220101
24/12/2025 - 11:35:02,BTC,Close Short,87582,0.00435,380.9817,0.171441,-0.355011
24/12/2025 - 11:35:03,BTC,Close Short,87582,0.00435,380.9817,0.171441,-0.355011
